Date,Close,High,Low,Open,Volume
2016-09-20,96127.3984375,96723.6015625,93742.3984375,94736.203125,48943
2016-09-21,96392.3984375,97054.8984375,95398.6015625,96193.6015625,86119
2016-09-22,96193.6015625,97982.3984375,96193.6015625,96723.6015625,100044
2016-09-23,97054.8984375,97386.1015625,95597.3984375,96061.1015625,38222
2016-09-26,97319.8984375,98048.6015625,96723.6015625,97054.8984375,33631
2016-09-27,96856.1015625,97386.1015625,96789.8984375,97253.6015625,43178
2016-09-28,97584.8984375,98313.6015625,97054.8984375,97386.1015625,97887
2016-09-29,97319.8984375,98379.8984375,96723.6015625,98313.6015625,68922
2016-09-30,99373.6015625,100699.0,97319.8984375,97319.8984375,143303
2016-10-03,106575.0,107625.0,98700.0,98700.0,148221
2016-10-04,104250.0,106875.0,102000.0,106650.0,136132
2016-10-05,105000.0,105375.0,102375.0,102750.0,72991
2016-10-06,105000.0,112500.0,104250.0,112500.0,127847
2016-10-07,103500.0,106125.0,100350.0,105525.0,167831
2016-10-10,99750.0,103500.0,99375.0,103500.0,89172
2016-10-11,101250.0,101250.0,96000.0,99000.0,176803
2016-10-12,101325.0,102375.0,100875.0,101250.0,31663
2016-10-13,101925.0,102675.0,99900.0,102675.0,30632
2016-10-14,102750.0,102975.0,100875.0,102300.0,79947
2016-10-17,103575.0,104925.0,103350.0,103350.0,62807
2016-10-18,103350.0,103350.0,102000.0,102825.0,29587
2016-10-19,103575.0,104400.0,103350.0,103350.0,56069
2016-10-20,103650.0,104625.0,103500.0,104250.0,114707
2016-10-21,101625.0,104250.0,101625.0,104250.0,58463
2016-10-24,97500.0,101550.0,97500.0,101250.0,107677
2016-10-25,98475.0,99600.0,94500.0,96750.0,223992
2016-10-26,98700.0,99600.0,97500.0,97500.0,35351
2016-10-27,99300.0,99600.0,98400.0,98775.0,41120
2016-10-28,100200.0,100425.0,98400.0,99300.0,57459
2016-10-31,99000.0,100425.0,98775.0,99750.0,45480
2016-11-01,98250.0,99000.0,97500.0,98325.0,85344
2016-11-02,96825.0,98250.0,96750.0,97425.0,93613
2016-11-03,96000.0,97425.0,94500.0,96825.0,132972
2016-11-04,94650.0,96300.0,94650.0,96000.0,67267
2016-11-07,95700.0,96000.0,94650.0,94650.0,108953
2016-11-08,97200.0,98925.0,96000.0,96000.0,42271
2016-11-09,94800.0,97200.0,92250.0,97200.0,127703
2016-11-10,98475.0,98475.0,96225.0,97500.0,64164
2016-11-11,98250.0,98925.0,97125.0,97500.0,38312
2016-11-14,96450.0,98250.0,96375.0,98250.0,59169
2016-11-15,97425.0,97875.0,96600.0,96750.0,46539
2016-11-16,97875.0,98250.0,96975.0,98250.0,8735
2016-11-17,97275.0,97650.0,97125.0,97500.0,17609
2016-11-18,95700.0,97200.0,95625.0,96750.0,39032
2016-11-21,94725.0,95700.0,94725.0,95700.0,36535
2016-11-22,93750.0,95100.0,93750.0,94800.0,70437
2016-11-23,93750.0,95250.0,92625.0,95250.0,97843
2016-11-25,94200.0,95175.0,93750.0,94500.0,55981
