date,title,push,boo,arrow,net,link
6/27,[新聞] 川普又髮夾彎！白宮：7/9關稅大限日「不,108,17,76,91,https://www.ptt.cc/bbs/Stock/M.1750986177.A.338.html
6/27,Re: [新聞] 台幣爆衝攔不住 路透揭央行將買匯者全請,34,7,67,27,https://www.ptt.cc/bbs/Stock/M.1750986200.A.461.html
6/27,[情報] FED宣布批准彰銀的申請,16,1,11,15,https://www.ptt.cc/bbs/Stock/M.1750986527.A.0E6.html
6/27,[新聞] Bessent asks lawmakers to rid US budge,6,0,4,6,https://www.ptt.cc/bbs/Stock/M.1750987768.A.F67.html
6/27,Re: [新聞] 台幣爆衝攔不住 路透揭央行將買匯者全請,41,35,93,6,https://www.ptt.cc/bbs/Stock/M.1750988313.A.056.html
6/27,[新聞] 陸人大通過「反不正當競爭法」 將加強監,28,5,29,23,https://www.ptt.cc/bbs/Stock/M.1750988482.A.1B9.html
6/27,Re: [新聞] 台幣爆衝攔不住 路透揭央行將買匯者全請,18,21,55,,https://www.ptt.cc/bbs/Stock/M.1750990320.A.3CB.html
6/27,Re: [新聞] 台幣爆衝攔不住 路透揭央行將買匯者全請,37,8,145,29,https://www.ptt.cc/bbs/Stock/M.1750990586.A.DEA.html
6/27,[標的] 3715 定穎投控,7,0,6,7,https://www.ptt.cc/bbs/Stock/M.1750990674.A.0EF.html
6/27,Re: [新聞] 台幣爆衝攔不住 路透揭央行將買匯者全請,42,1,68,41,https://www.ptt.cc/bbs/Stock/M.1750990712.A.318.html
6/27,[新聞] 新台幣28字頭快到！今開盤升2.5角、盤中2,4,1,3,3,https://www.ptt.cc/bbs/Stock/M.1750991874.A.56B.html
6/26,[新聞] T1智慧機「美國製造」破功？,16,1,6,15,https://www.ptt.cc/bbs/Stock/M.1750946321.A.2AE.html
6/26,[公告] 0626 水桶,30,20,44,11,https://www.ptt.cc/bbs/Stock/M.1750946461.A.43B.html
6/26,[情報] 114年06月26日信用交易統計,13,2,6,10,https://www.ptt.cc/bbs/Stock/M.1750946796.A.86C.html
6/26,[新聞] 特斯拉Robotaxi上路頻出包 大量駕駛失誤,70,10,92,58,https://www.ptt.cc/bbs/Stock/M.1750947236.A.1BD.html
6/26,[心得] 小那期貨是躲過匯損投資美股的方式嗎,13,0,14,13,https://www.ptt.cc/bbs/Stock/M.1750948090.A.1E2.html
6/26,Re: [心得] 買美債就是在賭嗎？,36,6,52,29,https://www.ptt.cc/bbs/Stock/M.1750949092.A.9E0.html
6/26,Re: [標的] PSTV.US 藥廠彩券股,19,0,10,17,https://www.ptt.cc/bbs/Stock/M.1750949475.A.96D.html
6/26,[情報] 0626 上市櫃外資投信買超金額排行,1,0,0,1,https://www.ptt.cc/bbs/Stock/M.1750952727.A.E4A.html
6/26,[情報] 0626 上市櫃股票週轉率排行,0,0,0,,https://www.ptt.cc/bbs/Stock/M.1750953149.A.97C.html
6/26,Re: [標的] AMD yo怎麼了,70,8,36,62,https://www.ptt.cc/bbs/Stock/M.1750953274.A.287.html
6/27,[新聞] 川普手機不再宣稱它是在美國製造的,42,2,31,40,https://www.ptt.cc/bbs/Stock/M.1750953687.A.F2C.html
6/27,Re: [心得] 我有個夢想  想當 藥廠王！,38,1,29,30,https://www.ptt.cc/bbs/Stock/M.1750955626.A.B28.html
6/27,Re: [新聞] 台幣爆衝攔不住 路透揭央行將買匯者全請,33,10,154,23,https://www.ptt.cc/bbs/Stock/M.1750956931.A.5FD.html
6/27,[新聞] 明年1/3的IT預算投給誰？ 西門子高管：投給DeepSeek,2,2,1,,https://www.ptt.cc/bbs/Stock/M.1750957029.A.940.html
6/27,Re: [新聞] 特斯拉Robotaxi上路頻出包 大量駕駛失誤,12,1,32,11,https://www.ptt.cc/bbs/Stock/M.1750957426.A.A3E.html
6/27,[新聞] 尚凡子公司大研生醫獲准上市,23,3,7,20,https://www.ptt.cc/bbs/Stock/M.1750961450.A.F06.html
6/27,Re: [新聞] 台幣爆衝攔不住 路透揭央行將買匯者全請,13,5,8,8,https://www.ptt.cc/bbs/Stock/M.1750974907.A.402.html
6/27,[新聞] 快訊／川普：美中25日已簽署貿易協議　將,126,14,75,爆,https://www.ptt.cc/bbs/Stock/M.1750978495.A.516.html
6/27,[新聞] 期交所推商品 週五到期臺指選擇權,19,2,9,17,https://www.ptt.cc/bbs/Stock/M.1750981230.A.DEF.html
6/26,[新聞] CPU大廠IPO申請獲受理 威盛電子持股7.8%,5,4,14,1,https://www.ptt.cc/bbs/Stock/M.1750930030.A.C7F.html
6/26,[情報] 00929 00943 指數定期審核結果,50,7,30,43,https://www.ptt.cc/bbs/Stock/M.1750930340.A.7E8.html
6/26,[標的] AMD yo怎麼了,31,2,22,29,https://www.ptt.cc/bbs/Stock/M.1750933370.A.F72.html
6/26,[新聞] 以色列要港口的電動車撤離 起火連鎖反應,19,1,29,18,https://www.ptt.cc/bbs/Stock/M.1750934167.A.B9B.html
6/26,[情報] 9957 燁聯 僅部分員工個資有外洩疑慮,3,0,0,3,https://www.ptt.cc/bbs/Stock/M.1750934215.A.E39.html
6/26,"[情報] 4120 友華 處分康霈(益) 均價1,241.55元",14,0,3,14,https://www.ptt.cc/bbs/Stock/M.1750934614.A.B17.html
6/26,[情報] 2323 中環 取得華碩 均價645.75元,20,1,12,19,https://www.ptt.cc/bbs/Stock/M.1750934893.A.864.html
6/26,[新聞] 新台幣獨強 機械業廠商哀鴻遍野、血流成河,102,17,39,85,https://www.ptt.cc/bbs/Stock/M.1750935178.A.3A3.html
6/26,Re: [新聞] 新台幣獨強 機械業廠商哀鴻遍野、血流成河,45,18,92,29,https://www.ptt.cc/bbs/Stock/M.1750936548.A.687.html
6/26,[請益] 輝達3~5年還有上升的空間嗎,56,3,58,53,https://www.ptt.cc/bbs/Stock/M.1750939005.A.119.html
6/26,[請益] 台幣29差不多可以開始買美金資產了吧,117,9,64,爆,https://www.ptt.cc/bbs/Stock/M.1750940262.A.1A2.html
6/26,[標的] 2603長榮 短線空 航運不死/科技不噴,6,5,5,1,https://www.ptt.cc/bbs/Stock/M.1750941888.A.EF0.html
6/26,Re: [標的] 2316楠梓電 老大今天出手加碼60張,4,5,3,1,https://www.ptt.cc/bbs/Stock/M.1750942422.A.7F1.html
6/26,[新聞] 輝達「超越微軟」再奪全球市值王！黃仁勳,12,1,7,11,https://www.ptt.cc/bbs/Stock/M.1750942731.A.332.html
6/26,[新聞] 漢翔打造民機供應鏈體系 目前在手訂單至,8,1,9,7,https://www.ptt.cc/bbs/Stock/M.1750942857.A.94D.html
6/26,Re: [請益] 台幣29差不多可以開始買美金資產了吧,11,3,10,8,https://www.ptt.cc/bbs/Stock/M.1750944233.A.E9F.html
6/26,[新聞] 美國法官判決Anthropic以版權書籍來訓練A,18,1,24,17,https://www.ptt.cc/bbs/Stock/M.1750945301.A.59C.html
6/26,[新聞] 謝金河：台股窗外有新藍天,87,19,39,67,https://www.ptt.cc/bbs/Stock/M.1750945602.A.07E.html
6/26,[情報] 6925 意藍 達注意標準 5月自結 0.26,19,0,11,19,https://www.ptt.cc/bbs/Stock/M.1750945827.A.3F7.html
6/26,[新聞] 台幣爆衝攔不住 路透揭央行將買匯者全請,95,27,76,63,https://www.ptt.cc/bbs/Stock/M.1750946032.A.223.html
6/26,[標的] 2891中信金 多,14,7,13,7,https://www.ptt.cc/bbs/Stock/M.1750919352.A.405.html
6/26,Re: [新聞] 熱錢禿鷹滯留 有炒匯嫌疑…左手買台股,5,0,9,5,https://www.ptt.cc/bbs/Stock/M.1750919842.A.E24.html
6/26,Re: [標的] 主動式ETF有比較抗跌？,4,1,36,3,https://www.ptt.cc/bbs/Stock/M.1750920175.A.616.html
6/26,Re: [新聞] 美債風暴4／他拿房增貸All in債券！　寬限,17,1,34,16,https://www.ptt.cc/bbs/Stock/M.1750920328.A.25F.html
6/26,Re: [新聞] 開鍘了！英特爾爆全球大裁員20%　「第一,17,1,34,18,https://www.ptt.cc/bbs/Stock/M.1750920536.A.FCF.html
6/26,[情報] 0626 上市投信買賣超排行,34,1,48,33,https://www.ptt.cc/bbs/Stock/M.1750920993.A.0D2.html
6/26,[新聞] 無薪假要來了！台幣狂升逼1產業停接單,207,45,159,爆,https://www.ptt.cc/bbs/Stock/M.1750920997.A.7E4.html
6/26,[情報] 114年06月26日 三大法人買賣金額統計表,93,9,29,84,https://www.ptt.cc/bbs/Stock/M.1750921269.A.4ED.html
6/26,[標的] 9984.JP 軟銀集團 Vision fund 未來多,4,0,6,4,https://www.ptt.cc/bbs/Stock/M.1750921389.A.8A2.html
6/26,Re: [新聞] 快報／新台幣升逾1.27角觸29.264元　續刷,47,7,65,39,https://www.ptt.cc/bbs/Stock/M.1750923552.A.DB4.html
6/26,Re: [請益] 為什麼外資熱錢匯入台股沒有相應的漲幅,15,10,29,5,https://www.ptt.cc/bbs/Stock/M.1750924226.A.3D7.html
6/26,Re: [請益] 00757 00830 美股ETF是否要先跑？,13,0,13,13,https://www.ptt.cc/bbs/Stock/M.1750925013.A.779.html
6/26,[情報] 3481 群創 代重要子公司CarUX Holding Li,9,0,2,9,https://www.ptt.cc/bbs/Stock/M.1750925333.A.E27.html
6/26,[心得] 這兩個月外幣相對台幣的跌幅,34,6,34,28,https://www.ptt.cc/bbs/Stock/M.1750925342.A.2A5.html
6/26,[情報] 0626 上市外資買賣超排行,84,9,48,75,https://www.ptt.cc/bbs/Stock/M.1750925416.A.BE9.html
6/26,[新聞] 大陸壓境 PChome詹宏志嘆「台灣電商苦日,69,28,80,41,https://www.ptt.cc/bbs/Stock/M.1750926795.A.32B.html
6/26,[創作] 兩個好股友,3,0,0,3,https://www.ptt.cc/bbs/Stock/M.1750928105.A.33C.html
6/26,[請益] 美債現在最大的風險不是不降息而是匯率,97,14,184,82,https://www.ptt.cc/bbs/Stock/M.1750929370.A.1F3.html
6/26,Re: [新聞] 大陸壓境 PChome詹宏志嘆「台灣電商苦日,18,0,31,17,https://www.ptt.cc/bbs/Stock/M.1750929844.A.3F0.html
6/26,[新聞] 關稅戰後外資大敲T50反1 持股比率飆至38.,57,3,34,54,https://www.ptt.cc/bbs/Stock/M.1750930022.A.297.html
6/26,Re: [請益] 00757 00830 美股ETF是否要先跑？,14,2,40,12,https://www.ptt.cc/bbs/Stock/M.1750910826.A.A31.html
6/26,[新聞] 美債風暴4／他拿房增貸All in債券！　寬限,141,19,91,爆,https://www.ptt.cc/bbs/Stock/M.1750910843.A.65B.html
6/26,[新聞] 台積電注資百億美元以對抗匯率波動,23,1,26,22,https://www.ptt.cc/bbs/Stock/M.1750911285.A.8FF.html
6/26,[新聞] 台積電多重動能齊發！高盛上調目標價1210,15,6,13,9,https://www.ptt.cc/bbs/Stock/M.1750912314.A.0CD.html
